map_name,seed,solved,approximate_solution,elapsed_s,path_length,state_count,forward_length,reverse_length,gear_switches,travel_time_s,total_uncertainty,overall_score,planner_type,path_role
parking_lot,31,False,True,10.027771,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,34,False,True,10.043765,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
parking_lot,1,False,True,10.013885,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,4,False,True,10.029156,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,7,False,True,10.084241,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,10,False,True,10.025230,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,13,False,True,10.072793,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,16,False,True,10.072482,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,19,False,True,10.042174,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,22,False,True,10.028204,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,25,False,True,10.039063,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,28,False,True,10.013901,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,31,False,True,10.051381,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
parking_lot,34,False,True,10.058098,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,overall best
cluttered_random,1,False,True,10.004566,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,4,False,True,10.008735,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,7,False,True,10.003311,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,10,False,True,10.002066,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,13,False,True,10.009149,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,16,False,True,10.000611,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,19,False,True,10.005410,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,22,False,True,10.006199,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,25,False,True,10.002187,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,28,False,True,10.003687,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
